id,name,format_id,liquor_id,sweetener_id,citrus_id,bitters_id,modifier_id,soda_id
1,Old Fashioned,4,8,1,,1,,
2,Negroni,1,2,,,5,1,
3,Manhattan,1,8,,,1,1,
4,Margarita,5,5,,2,,7,
5,Martini,3,7,,,,2,
6,Whiskey Sour,6,9,1,2,,,
7,Tom Collins,2,2,1,1,,,1
8,Rum and Coke,2,4,,2,,,3
9,Sidecar,4,11,,1,7,,
10,Moscow Mule,2,7,,2,,,4
11,Gin and Tonic,2,2,,2,,,2
12,Boulevardier,1,9,,,5,1,
13,Dark and Stormy,2,4,,2,,,4
14,Sazerac,1,11,,,1,9,
15,Daiquiri,6,3,1,2,,,
16,Blood and Sand,5,10,,5,,10,
